name,type,required_age,is_free,recommendations,price_overview,metacritic_score,developer,publisher,positive,negative,genre,ccu
Counter-Strike,game,0.0,False,137378,14.5,88.0,Valve,Valve,216345,5530,Action,10775
Team Fortress Classic,game,0.0,False,5474,7.5,0.0,Valve,Valve,6472,990,Action,77
Day of Defeat,game,0.0,False,3694,7.5,79.0,Valve,Valve,5686,634,Action,89
Deathmatch Classic,game,0.0,False,1924,7.5,0.0,Valve,Valve,2242,490,Action,8
Half-Life: Opposing Force,game,0.0,False,15478,7.5,0.0,Gearbox Software,Valve,17468,890,Action,162
Ricochet,game,0.0,False,3647,7.5,0.0,Valve,Valve,4302,952,Action,9
Half-Life,game,0.0,False,74518,14.5,96.0,Valve,Valve,87726,3191,Action,925
Counter-Strike: Condition Zero,game,0.0,False,16877,14.5,65.0,Valve,Valve,21155,2023,Action,451
Half-Life: Blue Shift,game,0.0,False,11577,7.5,71.0,Gearbox Software,Valve,12547,1126,Action,74
Half-Life 2,game,0.0,False,130813,14.5,96.0,Valve,Valve,164166,4137,Action,1289
Counter-Strike: Source,game,0.0,False,105367,14.5,88.0,Valve,Valve,150846,5879,Action,3922
Half-Life: Source,game,0.0,False,11512,14.5,0.0,Valve,Valve,9546,3881,Action,78
Day of Defeat: Source,game,0.0,False,13172,14.5,80.0,Valve,Valve,18275,1709,Action,432
Half-Life 2: Deathmatch,game,0.0,False,7925,7.5,0.0,Valve,Valve,10733,1132,Action,198
Half-Life 2: Lost Coast,game,0.0,False,9086,0.0,0.0,Valve,Valve,10513,1317,Action,20
Half-Life Deathmatch: Source,game,0.0,False,3071,14.5,0.0,Valve,Valve,2723,936,Action,15
Half-Life 2: Episode One,game,0.0,False,20742,11.79,87.0,Valve,Valve,24577,1087,Action,213
Portal,game,0.0,False,115319,14.5,90.0,Valve,Valve,133848,2048,Action,745
Half-Life 2: Episode Two,game,0.0,False,27975,11.5,90.0,Valve,Valve,33820,1024,Action,280
Team Fortress 2,game,0.0,True,19943,0.0,92.0,Valve,Valve,909911,59944,Action/ Free to Play,120722
Left 4 Dead,game,0.0,False,40976,14.5,89.0,Valve,Valve,47590,1844,Action,711
Left 4 Dead 2,game,17.0,False,563972,14.5,89.0,Valve,Valve,742846,18804,Action,33123
Dota 2,game,0.0,True,14328,0.0,90.0,Valve,Valve,1659573,355797,Action/ Free to Play/ Strategy,524317
Portal 2,game,0.0,False,288115,14.5,95.0,Valve,Valve,347464,4398,Action/ Adventure,3175
Alien Swarm,game,0.0,True,309,0.0,77.0,Valve,Valve,19567,1053,Action,66
Counter Strike(GO),game,0.0,True,3871754,0.0,83.0,Valve/ Hidden Path Entertainment,Valve,6547618,828205,Action/ Free to Play,1088407
Killing Floor,game,0.0,False,36525,28.95,72.0,Tripwire Interactive,Tripwire Interactive,61382,3249,Action,286
Source Filmmaker,game,0.0,True,240,0.0,0.0,Valve,Valve,30957,2237,Animation & Modeling/ Video Production,1394
Dark Messiah of Might & Magic,game,0.0,False,6957,1.87,72.0,Arkane Studios,Ubisoft,8365,786,Action/ RPG,63
DOOM (1993),game,0.0,False,13327,7.45,0.0,id Software,id Software,14810,493,Action,82
Quake,game,0.0,False,10235,14.95,94.0,id Software/ Nightdive Studios/ MachineGames,Bethesda Softworks,11574,440,Action,127
The Ship: Murder Party,game,0.0,False,2545,14.5,76.0,Outerlight Ltd.,Blazing Griffin,5074,839,Action/ Indie/ RPG,6
Plants vs. Zombies GOTY Edition,game,0.0,False,98402,7.5,87.0,PopCap Games/ Inc.,PopCap Games/ Inc./ Electronic Arts,104900,2737,Strategy,6203
Psychonauts,game,0.0,False,9640,14.5,87.0,Double Fine Productions,Double Fine Productions,15109,757,Action,65
Garry's Mod,game,0.0,False,841357,14.5,0.0,Facepunch Studios,Valve,949375,32403,Indie/ Simulation,35466
S.T.A.L.K.E.R.: Shadow of Chernobyl,game,0.0,False,27947,28.95,82.0,GSC Game World,GSC Game World,33889,1980,Action/ RPG,431
Company of Heroes - Legacy Edition,game,15.0,False,4200,23.99,93.0,Relic Entertainment,SEGA,6106,414,Action/ Strategy,103
Total War: MEDIEVAL II – Definitive Edition,game,0.0,False,20939,9.37,0.0,Creative Assembly,SEGA/ Feral Interactive (Mac)/ Feral Interactive (Linux),27078,1158,Strategy,4584
